method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.007,-1.181191418522798e-06,-0.0028037261776282,-0.5547962534637098,-5.507986042263546e-07,-0.0013073989879977,-0.2587057417058296,-0.0002419734940379975,-0.0564908316749118,3.139652522475089,-4.23659046485253e-05,44.36066918194315
CALG,0.0072,-1.8658989442837948e-06,-0.0034235367976318,-0.4006799119848101,-8.700829670846288e-07,-0.0015964214267111,-0.18684011142738727,-0.00025283095854579385,-0.0542873191163706,4.134644689841883,-5.3223385019521285e-05,45.24835016399771
CALG,0.0074,-2.641310351395032e-06,-0.0038770558715796,-0.2349409376455212,-1.231663244422032e-06,-0.0018079008440123,-0.10955475843822247,-0.0002632410772610977,-0.0520505887833572,5.1236357283136895,-6.363353030335028e-05,46.03124883715893
CALG,0.0076,-3.474437919759321e-06,-0.0041656363515518,-0.061263123703493474,-1.6201570097532092e-06,-0.0019424681318174,-0.02856746374543621,-0.0002731991402088879,-0.0497903086036495,6.105836469720722,-7.359163197837026e-05,46.71348513929706
CALG,0.0078,-4.333314621698947e-06,-0.004294381719887,0.11687650936757857,-2.02065779329047e-06,-0.0020025030830241,0.05450041137652596,-0.0002827021270659924,-0.0475149269157567,7.080487136293082,-8.309466979690427e-05,47.298008308086125
CALG,0.008,-5.187634161823995e-06,-0.004271595652457,0.29626226787335164,-2.4190335373708294e-06,-0.0019918777652823,0.13814936433171096,-0.0002917484931376918,-0.0452318219240273,8.046847539243233,-9.21410976725684e-05,47.78689485544135
CALG,0.0082,-6.009279121588218e-06,-0.0041082225409363,0.4739820510237579,-2.8021728744193064e-06,-0.0019156956322436,0.22102146022039162,-0.0003003379846104881,-0.0429474480666903,9.004190204085095,-0.0001007306590375,48.18164563348678
CALG,0.0084,-6.772738170540693e-06,-0.0038172928303815,0.6474578121217016,-3.1581796756038893e-06,-0.001780032880227,0.3019145361246298,-0.00030847148184139084,-0.0406674762135448,9.951796183450544,-0.0001088642303925,48.4834621387723
CALG,0.0086,-7.4554157459411075e-06,-0.0034133853582557,0.8144649111856689,-3.476517457058625e-06,-0.0015916877327887,0.3797912253844081,-0.0003161508689473874,-0.0383969251586458,10.88895328011964,-0.0001165436912658,48.69348797997488
CALG,0.0088,-8.037839669336466e-06,-0.0029121170420712,1.2306871181183594,-3.748106192837109e-06,-0.0013579424781615,0.5738788279712962,-0.00032337892755009146,-0.0361402824114904,10.864132929771648,-0.0001237718183854,48.813006971309775
CALG,0.009,-8.503773868226427e-06,-0.0023296684052928,1.6030765652612675,-3.965374877984429e-06,-0.0010863422183497,0.7475268789901405,-0.00033015925224379183,-0.0339016128075292,10.810557126915006,-0.0001305522015871,48.84359419077301
CALG,0.0092,-8.84024470206024e-06,-0.0016823515998701,1.9274239123270342,-4.122273804516019e-06,-0.0007844934347287,0.8987725308291645,-0.0003364961851486936,-0.0316846539459792,10.73092298779911,-0.0001368891787771,48.78722032196296
