method,gap_or_distance_m,parameters,point_A_m,point_B_m,normal,iterations
analytic reference,0.025,0.0000000000000000e+00 0.0000000000000000e+00,0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00,0.0000000000000000e+00 0.0000000000000000e+00 2.5000000000000001e-02,0.0000000000000000e+00 0.0000000000000000e+00 1.0000000000000000e+00,0
2D graph gap,0.025,-9.0691465226215924e-12 1.8609701778408192e-11,-9.0691465226215924e-12 1.8609701778408192e-11 -3.0970697086580237e-23,-9.0691465226215924e-12 1.8609701778408192e-11 2.5000000000000001e-02,-1.5458396989363549e-11 3.2081822907270051e-13 1.0000000000000000e+00,6
4D patch-patch closest,0.025,1.0233661956615134e-10 -2.8894257583232397e-09 3.5177238083974649e-11 -2.8403713932278064e-09,1.0233661956615134e-10 -2.8894257583232397e-09 8.0300904087208376e-19,3.5177238083974649e-11 -2.8403713932278064e-09 2.5000000000000001e-02,-2.6863752592870675e-09 1.9621746038173333e-09 1.0000000000000000e+00,18
