source,step,time,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,gap,normal_x,normal_y,normal_z,contact_force_x,contact_force_y,contact_force_z,contact_force,contacts,candidate_pairs
deep_ball_joint_pendulum_mesh_cpp,0,0.00020000000000000001,0,0,-0.07980039239999992,0,0,-0.0019620000000000002,0,0,-9.8100000000000005,0,0,0,0.00019960760000004363,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,1,0.00040000000000000002,0,0,-0.079801177199999906,0,0,-0.0039240000000000004,0,0,-9.8100000000000005,0,0,0,0.00019882280000005259,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,2,0.00060000000000000006,0,0,-0.079802354399999886,0,0,-0.0058860000000000006,0,0,-9.8100000000000005,0,0,0,0.0001976456000000779,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,3,0.00080000000000000004,0,0,-0.07980392399999986,0,0,-0.0078480000000000008,0,0,-9.8100000000000005,0,0,0,0.00019607600000009581,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,4,0.001,0,0,-0.079805885999999882,0,0,-0.009810000000000001,0,0,-9.8100000000000005,0,0,0,0.0001941140000000827,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,5,0.0012000000000000001,0,0,-0.079808240399999897,0,0,-0.011772000000000001,0,0,-9.8100000000000005,0,0,0,0.0001917596000000622,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,6,0.0014,0,0,-0.079810987199999905,0,0,-0.013734000000000001,0,0,-9.8100000000000005,0,0,0,0.00018901280000005802,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,7,0.0016000000000000001,0,0,-0.079814126399999907,0,0,-0.015696000000000002,0,0,-9.8100000000000005,0,0,0,0.0001858736000000465,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,8,0.0018000000000000002,0,0,-0.079817657999999903,0,0,-0.017658,0,0,-9.8100000000000005,0,0,0,0.00018234200000005131,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,9,0.002,0,0,-0.079821581999999891,0,0,-0.019619999999999999,0,0,-9.8100000000000005,0,0,0,0.00017841800000007244,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,10,0.0022000000000000001,0,0,-0.079825898399999873,0,0,-0.021581999999999997,0,0,-9.8100000000000005,0,0,0,0.0001741016000000862,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,11,0.0024000000000000002,0,0,-0.079830607199999848,0,0,-0.023543999999999995,0,0,-9.8100000000000005,0,0,0,0.00016939280000011629,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,12,0.0026000000000000003,0,0,-0.079835708399999872,0,0,-0.025505999999999994,0,0,-9.8100000000000005,0,0,0,0.00016429160000009166,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,13,0.0028,0,0,-0.079841201999999889,0,0,-0.027467999999999992,0,0,-9.8100000000000005,0,0,0,0.00015879800000007151,0,0,1,0,0,0,0,148,196
deep_ball_joint_pendulum_mesh_cpp,14,0.0030000000000000001,0,0,-0.079847087999999899,0,0,-0.029429999999999991,0,0,-9.8100000000000005,0,0,0,0.00015291200000005584,0,0,1,0,0,0,0,148,196
