source,step,time,x,y,z,vx,vy,vz,ax,ay,az,wx,wy,wz,gap,normal_x,normal_y,normal_z,contact_force_x,contact_force_y,contact_force_z,contact_force,contacts,candidate_pairs
bearing_rotating_inner_cpp,0,0.00050000000000000001,0.97133619209250843,0.23770991146511097,1.1833548527817432e-27,-0.0035655190424793977,0.014570075952789604,2.3667097055634864e-24,4.0707855242065605e-05,1.2660018318400024e-05,4.733419411126973e-21,-4.2318453636521571e-23,1.7077181290490119e-22,-0.093052128974971407,-0.00020413317518667656,-0.97064524803141539,-0.24051570109668979,0,3.460167695558549e-05,1.0761015569333191e-05,4.0234064994579266e-21,3.6236383707844351e-05,112,128
bearing_rotating_inner_cpp,1,0.001,0.97133440934165372,0.23771719650594456,3.7057691442375644e-27,-0.0035655017095390183,0.014570081667170987,5.0448285829116423e-24,3.4665880758837087e-05,1.142876276602478e-05,5.3562377546963115e-21,-8.9505401939191644e-23,3.6251560283321128e-22,-0.093052150629276936,-0.00020413325891746752,-0.97064344285470738,-0.24052298610145439,0,2.9465998645192775e-05,9.71444835136807e-06,4.5528020914918643e-21,3.1026046846640009e-05,0,0
bearing_rotating_inner_cpp,2,0.0015,0.97133262659835296,0.23772448154942488,7.3492564541181949e-27,-0.0035654866016103341,0.014570086960676873,7.2869746197612611e-24,3.0215857368259824e-05,1.0587011770729626e-05,4.4842920736992377e-21,-1.3556885147275053e-22,5.5126339604389152e-22,-0.093052174143938085,-0.00020413340710490901,-0.9706416376399567,-0.24053027102554705,0,2.5683478763139245e-05,8.9989600037290968e-06,3.8116482626443515e-21,2.72143778640141e-05,112,128
bearing_rotating_inner_cpp,3,0.002,0.97133084386148594,0.23773176659533965,1.2580930540100639e-26,-0.0035654737340536707,0.014570091829509536,1.0463348171964887e-23,2.5735113326832981e-05,9.7376653268588242e-06,6.3527471044072525e-21,-1.7901080387838329e-22,7.2802720238405236e-22,-0.093052199518829842,-0.0002041336186107541,-0.9706398323871499,-0.24053755586902795,0,2.1874846327972731e-05,8.2770155288981498e-06,5.3998350387461647e-21,2.3388413540427302e-05,0,0
bearing_rotating_inner_cpp,4,0.0025000000000000001,0.97132906112992545,0.23773905164347472,1.9338509567827963e-26,-0.0035654631210657768,0.014570096270155533,1.3515158055454646e-23,2.1225975787783624e-05,8.8812919935010726e-06,6.1036197669795173e-21,-2.2507425341194215e-22,9.1677499559473261e-22,-0.093052226753821729,-0.00020413389228835093,-0.97063802709627356,-0.2405448406319573,0,1.804207941971601e-05,7.5490981939693284e-06,5.1880768019325896e-21,1.9557748166124109e-05,112,128
bearing_rotating_inner_cpp,5,0.0030000000000000001,0.97132727840253763,0.23774633669361442,2.7372866199872428e-26,-0.0035654547756920432,0.014570100279382736,1.6068713264088933e-23,1.6690747467289213e-05,8.0184544073991226e-06,5.107110417268574e-21,-2.6814170622787116e-22,1.0935388019348934e-21,-0.093052255848777785,-0.0002041342269852119,-0.97063622176731479,-0.24055212531439496,0,1.4187135347088427e-05,6.8156862452349625e-06,4.3410438546782892e-21,1.5739389707040455e-05,0,0
bearing_rotating_inner_cpp,6,0.0035000000000000001,0.97132549567818272,0.23775362174554154,3.6559436767520169e-26,-0.0035654487098404648,0.014570103854236962,1.8373141135295485e-23,1.2131703156816054e-05,7.1497084502825103e-06,4.6088557424131035e-21,-3.1008566027468902e-22,1.2718006066338693e-21,-0.09305228680355658,-0.00020413462154153321,-0.97063441640025971,-0.24055940991640171,0,1.0311947682935378e-05,6.0772521816782018e-06,3.9175273810511391e-21,1.1969513736794355e-05,112,128
bearing_rotating_inner_cpp,7,0.0040000000000000001,0.97132371295571551,0.23776090679903755,4.6804798519235787e-26,-0.0035654449342951348,0.014570106992038697,2.0490723503431234e-23,7.5510906598699745e-06,6.2756034709121611e-06,4.2351647362714994e-21,-3.5277861350091433e-22,1.4500624113328451e-21,-0.09305231961801122,-0.00020413507479229371,-0.97063261099509535,-0.24056669443803746,0,6.418427060873073e-06,5.3342629490769039e-06,3.5998900258307764e-21,8.3456915319008994e-06,0,0
bearing_rotating_inner_cpp,8,0.0045000000000000005,0.97132193023398616,0.23776819185388273,5.8295796958090077e-26,-0.0035654434587312363,0.01457010969037947,2.2981996877708588e-23,2.9511277969962446e-06,5.396681546088189e-06,4.9825467485547075e-21,-3.9996556180358439e-22,1.6418062012611552e-21,-0.093052354291989325,-0.00020413558556834098,-0.97063080555180803,-0.2405739788793628,0,2.5084586273684269e-06,4.5871793153677812e-06,4.2351647362715017e-21,5.2282481536894474e-06,112,128
bearing_rotating_inner_cpp,9,0.0050000000000000001,0.97132014751184026,0.23777547690985629,7.0814445663833782e-26,-0.0035654442917283356,0.014570111947118634,2.5037297411487405e-23,-1.665994198499221e-06,4.513478327194953e-06,4.1106010675576337e-21,-4.467780105165507e-22,1.8335499911894652e-21,-0.093052390825333051,-0.00020413615269544347,-0.97062900007038488,-0.24058126324043791,0,-1.4160950690501813e-06,3.8364565769068348e-06,3.4940109074239889e-21,4.0894650397185138e-06,0,0
