method,active_area_m2,int_gap_m3,mean_gap_m,normal_force_N,mean_pressure_Pa,pressure_center_m,average_normal,radial_order,theta_order
high-order reference,0.1696460032938488,-2.261946710584646e-05,-0.00013333333333333307,45.238934211692914,266.6666666666661,1.6000000000000003e-01 -1.1999999999999969e-01 -1.6066183844324174e-02,1.2627968195593614e-01 -1.7206739071229528e-02 9.9184543657549906e-01,180,720
CALG graph-region quadrature,0.1696460032938488,-2.261946710584648e-05,-0.00013333333333333318,45.238934211692964,266.6666666666664,1.5999999999999998e-01 -1.2000000000000070e-01 -1.6066183844324105e-02,1.2627968195593822e-01 -1.7206739071229542e-02 9.9184543657549873e-01,36,144
