method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.007,-1.181191418522798e-06,-0.0028037261776282,-0.5546841865834204,-5.507986042263546e-07,-0.0013073989879977,-0.2586534840613252,-0.0002419734940379975,-0.0564908316749118,3.1396109214756893,-4.23659046485253e-05,44.36066918194315
CALG,0.0072,-1.8658989442837948e-06,-0.0034235367976318,-0.4005611281200835,-8.700829670846288e-07,-0.0015964214267111,-0.18678472160160042,-0.00025283095854579385,-0.0542873191163706,4.134601165970047,-5.3223385019521285e-05,45.24835016399771
CALG,0.0074,-2.641310351395032e-06,-0.0038770558715796,-0.2348168721900834,-1.231663244422032e-06,-0.0018079008440123,-0.10949690576623966,-0.0002632410772610977,-0.0520505887833572,5.123590788352183,-6.363353030335028e-05,46.03124883715893
CALG,0.0076,-3.474437919759321e-06,-0.0041656363515518,-0.061135292854526,-1.6201570097532092e-06,-0.0019424681318174,-0.02850785524161452,-0.0002731991402088879,-0.0497903086036495,6.105790618783392,-7.359163197837026e-05,46.71348513929706
CALG,0.0078,-4.333314621698947e-06,-0.004294381719887,0.1170065507696403,-2.02065779329047e-06,-0.0020025030830241,0.05456105067818436,-0.0002827021270659924,-0.0475149269157567,7.080440867086723,-8.309466979690427e-05,47.298008308086125
CALG,0.008,-5.187634161823995e-06,-0.004271595652457,0.2963929653993184,-2.4190335373708294e-06,-0.0019918777652823,0.13821030958897124,-0.0002917484931376918,-0.0452318219240273,8.046801323155407,-9.21410976725684e-05,47.78689485544135
CALG,0.0082,-6.009279121588218e-06,-0.0041082225409363,0.47411188570234486,-2.8021728744193064e-06,-0.0019156956322436,0.22108200312531068,-0.0003003379846104881,-0.0429474480666903,9.004144483916795,-0.0001007306590375,48.18164563348678
CALG,0.0084,-6.772738170540693e-06,-0.0038172928303815,0.6475853308268782,-3.1581796756038893e-06,-0.001780032880227,0.30197399907341144,-0.00030847148184139084,-0.0406674762135448,9.951751367623233,-0.0001088642303925,48.4834621387723
CALG,0.0086,-7.4554157459411075e-06,-0.0034133853582557,0.8145887519572943,-3.476517457058625e-06,-0.0015916877327887,0.3798489732846087,-0.0003161508689473874,-0.0383969251586458,10.88890973820971,-0.0001165436912658,48.69348797997488
CALG,0.0088,-8.037839669336466e-06,-0.0029121170420712,1.2308037185063512,-3.748106192837109e-06,-0.0013579424781615,0.5739331996251603,-0.00032337892755009146,-0.0361402824114904,10.864091959680293,-0.0001237718183854,48.813006971309775
