case_id,geometry,faces_a,faces_b,d_hat,candidate_pairs,contacts,min_gap,fast_path_ratio,curved_attempted,interval_attempted,elapsed_s,status,notes
0,ruffled_sphere_plane,120,72,0.12188215999535004,1304,127,0.050944012670453835,0.1633435582822086,98,1,2.1667843830000493,passed,
1,lobed_rotor_plane,96,72,0.08963846734938848,960,206,-0.1403863132902038,0.215625,132,0,1.9607307559999754,passed,
2,wavy_sheet_plane,72,72,0.10031591827393449,1600,577,0.031173573554202246,0.399375,210,0,3.2849799719997463,passed,
3,ruffled_sphere_plane,120,72,0.09772743201144851,824,121,0.06822916607923436,0.25,101,1,2.0458008369996605,passed,
4,lobed_rotor_plane,96,72,0.10392995988237202,1144,232,0.0017493578973528968,0.22552447552447552,145,0,2.1137785580003765,passed,
5,wavy_sheet_plane,72,72,0.13320984112446954,2154,601,0.05664985238995138,0.3138347260909935,222,2,4.4395445350000955,passed,
